rank,uid,username,type
1,216487883,INT丶Sky,提督
2,3537116076182047,D咩乐D,舰长
3,3546383376189615,守ーShowee,舰长
4,106471233,守二元气小话痨,舰长
5,619951109,铪蛤蛤鉿哈,舰长
6,648217930,大明天子万穗爷,舰长
7,4266135,饿死君,舰长
8,22303314,Pcrab,舰长
9,1637548,ErgoWong,舰长
10,3273501,草莓的营养,舰长
11,442114294,unituniverse,舰长
12,1519762,小枝ss,舰长
13,13179413,喵沌3,舰长
14,282646345,Jaang_,舰长
15,32517990,误以为哦,舰长
16,285630779,PtrLive录播机,舰长
17,24320109,SkinkEBravia,舰长
18,292908118,露汐与艾利欧酱,舰长
19,21251930,用户不存在ii,舰长
20,35264389,Cena影鸩,舰长
21,8241603,操り人形,舰长
