rank,uid,username,type
1,216487883,INT丶Sky,提督
2,3537116076182047,D咩乐D,舰长
3,3546383376189615,守ーShowee,舰长
4,495973133,千万诗一人魂,舰长
5,106471233,守二元气小话痨,舰长
6,3719386,挖坑的章鱼,舰长
7,648217930,守壹Showee,舰长
8,1637548,ErgoWong,舰长
9,4266135,饿死君,舰长
10,22303314,Pcrab,舰长
11,50002750,守一电子宠物壹号桐原,舰长
12,3273501,草莓的营养,舰长
13,359984,Sakuya的世界,舰长
14,442114294,unituniverse,舰长
15,1519762,小枝ss,舰长
16,6113488,YujiSY,舰长
17,13179413,喵沌3,舰长
18,282646345,Jaang_,舰长
19,12416493,碎饼干屑,舰长
20,98639326,白拾Official,舰长
21,412259573,翱翔的黑鹰,舰长
22,70551236,飞行幸运鹿,舰长
23,647332642,索利文,舰长
24,7723047,狐狐世界第一可爱,舰长
25,653300,神田空太poi,舰长
