rank,uid,username,type
1,216487883,INT丶Sky,提督
2,3537116076182047,D咩乐D,舰长
3,3546383376189615,守ーShowee,舰长
4,495973133,千万诗一人魂,舰长
5,106471233,守二元气小话痨,舰长
6,3719386,挖坑的章鱼,舰长
7,619951109,铪蛤蛤鉿哈,舰长
8,648217930,守壹Showee,舰长
9,22303314,Pcrab,舰长
10,4266135,饿死君,舰长
11,50002750,守一电子宠物壹号桐原,舰长
12,3273501,草莓的营养,舰长
13,475072983,Yuntuo_Honkai,舰长
14,44987344,初见Yui,舰长
15,359984,Sakuya的世界,舰长
16,442114294,unituniverse,舰长
17,32517990,误以为哦,舰长
18,229027669,吃完饭就困zz,舰长
19,41346217,迷途ヾ小狼,舰长
20,1519762,小枝ss,舰长
21,13179413,喵沌3,舰长
22,285630779,PtrLive录播机,舰长
23,277946423,VegQi,舰长
24,282646345,Jaang_,舰长
25,6113488,YujiSY,舰长
26,15596485,睡觉了的洞洞oO,舰长
27,12416493,碎饼干屑,舰长
28,4779605,临沂市网戒中心,舰长
29,286084449,Joecheer,舰长
30,11936677,AD1024,舰长
31,98639326,白拾Official,舰长
32,653300,神田空太poi,舰长
33,647332642,索利文,舰长
34,412259573,翱翔的黑鹰,舰长
35,88162263,生无忧,舰长
